current_zone_idx,total_frames,avg_speed,std_speed,crash_count,airborne_count,backwards_count,heavy_drift_count,avg_drift_ratio,avg_wheels_ground,crash_rate,airborne_rate,backwards_rate
19.0,258,4.8601036,3.1595588,0,43,0,0,0.0008425929,3.3333333,0.0,16.666666666666664,0.0
20.0,310,10.474635,1.3283877,0,0,0,0,0.0010145322,4.0,0.0,0.0,0.0
21.0,219,16.08544,1.8140292,0,0,0,0,0.00060736743,4.0,0.0,0.0,0.0
22.0,174,20.869757,1.9479146,0,0,0,0,0.00045628817,4.0,0.0,0.0,0.0
23.0,135,24.599558,2.0367134,0,0,0,0,0.00023941246,4.0,0.0,0.0,0.0
24.0,98,27.404785,1.8410718,0,0,0,0,4.813266e-05,4.0,0.0,0.0,0.0
25.0,124,30.535845,1.6730189,0,0,0,0,0.00022915851,4.0,0.0,0.0,0.0
26.0,96,32.9786,1.8266248,0,0,0,0,0.00052013324,4.0,0.0,0.0,0.0
27.0,123,36.062332,1.7673973,0,0,0,0,0.00034201355,4.0,0.0,0.0,0.0
28.0,93,38.493404,1.9350231,0,0,0,0,0.00079921755,4.0,0.0,0.0,0.0
29.0,93,40.725746,1.7127599,0,0,0,0,0.003750201,4.0,0.0,0.0,0.0
30.0,92,42.46674,2.1157498,0,0,0,0,0.006661336,4.0,0.0,0.0,0.0
31.0,91,44.65677,2.3119829,0,0,0,0,0.008102117,4.0,0.0,0.0,0.0
32.0,88,46.240803,2.6033926,0,0,0,0,0.018546639,4.0,0.0,0.0,0.0
33.0,85,47.18853,3.191817,0,0,0,0,0.037905954,3.7294118,0.0,0.0,0.0
34.0,80,48.853107,3.3226001,0,0,0,0,0.04218953,3.9125,0.0,0.0,0.0
35.0,77,49.96296,3.4814315,0,0,0,0,0.045674723,4.0,0.0,0.0,0.0
36.0,79,50.835503,4.689751,0,0,0,0,0.055707593,4.0,0.0,0.0,0.0
37.0,69,51.360466,4.875516,0,0,0,0,0.07002673,4.0,0.0,0.0,0.0
38.0,79,52.26272,5.7197266,0,0,0,0,0.06386627,4.0,0.0,0.0,0.0
39.0,77,51.853264,5.5359664,0,0,0,0,0.057636082,4.0,0.0,0.0,0.0
40.0,76,53.236298,6.078329,0,0,0,0,0.04189039,4.0,0.0,0.0,0.0
41.0,67,53.17581,7.033408,0,0,0,0,0.033664636,3.9552238,0.0,0.0,0.0
42.0,77,53.539425,6.091658,0,0,0,0,0.03066636,3.961039,0.0,0.0,0.0
43.0,68,53.74172,7.1925306,0,0,0,0,0.038934015,3.9264705,0.0,0.0,0.0
44.0,76,53.771168,7.1831775,0,0,0,0,0.05529082,3.9605262,0.0,0.0,0.0
45.0,72,53.78559,7.8837104,0,0,0,0,0.073770136,3.9027777,0.0,0.0,0.0
46.0,69,53.355595,7.951506,0,0,0,0,0.09257943,3.8695652,0.0,0.0,0.0
47.0,77,52.579636,7.400237,0,0,0,0,0.10403951,3.8961039,0.0,0.0,0.0
48.0,71,52.693356,8.406212,0,0,0,0,0.084415466,3.971831,0.0,0.0,0.0
49.0,74,52.771763,8.648629,0,0,0,0,0.09475935,3.9864864,0.0,0.0,0.0
50.0,78,53.441063,9.024794,0,0,0,0,0.087980986,3.9487178,0.0,0.0,0.0
51.0,73,52.400368,8.282593,0,0,0,0,0.11583814,3.890411,0.0,0.0,0.0
52.0,70,52.224613,8.790727,0,0,0,0,0.10627009,3.9,0.0,0.0,0.0
53.0,72,52.435226,8.303675,0,0,0,0,0.09282765,3.9722223,0.0,0.0,0.0
54.0,76,53.750446,8.4392185,0,0,0,0,0.07840758,4.0,0.0,0.0,0.0
55.0,73,53.533047,8.794271,0,0,0,0,0.08823889,3.9863014,0.0,0.0,0.0
56.0,69,52.377026,8.911412,0,0,0,0,0.087490074,4.0,0.0,0.0,0.0
57.0,72,51.95481,9.329079,0,0,0,0,0.07800525,3.8194444,0.0,0.0,0.0
58.0,80,50.87778,9.400384,0,0,0,0,0.08153443,3.825,0.0,0.0,0.0
59.0,75,52.842926,9.549154,0,0,0,0,0.06934037,3.92,0.0,0.0,0.0
60.0,67,58.903004,8.707634,0,0,0,0,0.062347826,3.9850745,0.0,0.0,0.0
61.0,58,61.85345,9.945009,0,0,0,0,0.073766075,4.0,0.0,0.0,0.0
62.0,60,66.44206,10.752542,0,0,0,0,0.07284502,4.0,0.0,0.0,0.0
63.0,59,71.03413,10.74397,0,0,0,0,0.085433505,4.0,0.0,0.0,0.0
64.0,52,74.76106,12.193387,0,0,0,0,0.09016057,4.0,0.0,0.0,0.0
65.0,50,77.84899,11.8693495,0,0,0,0,0.09295165,4.0,0.0,0.0,0.0
66.0,51,82.38057,11.9521475,0,0,0,0,0.08489267,4.0,0.0,0.0,0.0
67.0,43,85.20545,10.006971,0,0,0,0,0.07547182,4.0,0.0,0.0,0.0
68.0,39,90.77344,10.8464155,0,0,0,0,0.05411706,3.974359,0.0,0.0,0.0
69.0,42,95.26166,11.130751,0,0,0,0,0.041622017,3.9761906,0.0,0.0,0.0
70.0,41,99.446754,11.053421,0,0,0,0,0.03523365,3.9512196,0.0,0.0,0.0
71.0,37,101.08293,7.805731,0,0,0,0,0.024922747,4.0,0.0,0.0,0.0
72.0,39,105.19674,9.253603,0,0,0,0,0.019803572,4.0,0.0,0.0,0.0
73.0,39,108.22586,9.831568,0,0,0,0,0.016016724,4.0,0.0,0.0,0.0
74.0,31,107.39189,6.793413,0,0,0,0,0.017377408,4.0,0.0,0.0,0.0
75.0,40,112.724594,9.516139,0,0,0,0,0.014692691,4.0,0.0,0.0,0.0
76.0,34,115.10616,10.106951,0,0,0,0,0.014397802,4.0,0.0,0.0,0.0
77.0,33,115.40019,8.344093,0,0,0,0,0.015758699,4.0,0.0,0.0,0.0
78.0,31,117.9711,11.489884,0,0,0,0,0.016109144,4.0,0.0,0.0,0.0
79.0,32,120.65348,10.261205,0,0,0,0,0.014936579,4.0,0.0,0.0,0.0
80.0,36,122.11522,9.901342,0,0,0,0,0.013891301,4.0,0.0,0.0,0.0
81.0,28,124.32807,12.491554,0,0,0,0,0.013306281,4.0,0.0,0.0,0.0
