current_zone_idx,total_frames,avg_speed,crash_count,crash_rate
19.0,11973,4.262198,11973,100.0
20.0,11615,10.029952,5684,48.93671975893242
21.0,7522,16.162777,22,0.2924754054772667
22.0,5734,20.451153,0,0.0
23.0,4881,23.893267,0,0.0
24.0,4037,26.609533,0,0.0
25.0,4142,29.566204,0,0.0
26.0,3720,31.956352,0,0.0
27.0,4118,34.708057,0,0.0
28.0,3562,37.0652,0,0.0
29.0,3460,39.456966,0,0.0
30.0,3303,41.768616,0,0.0
31.0,3169,44.02658,0,0.0
32.0,2890,45.9628,0,0.0
33.0,2894,48.195545,0,0.0
34.0,2819,50.41254,0,0.0
35.0,2439,51.955547,0,0.0
36.0,2591,54.25152,0,0.0
37.0,2370,55.923306,0,0.0
38.0,2356,57.703926,0,0.0
39.0,2224,59.20462,0,0.0
40.0,2231,60.9347,0,0.0
41.0,2163,62.649815,0,0.0
42.0,2057,63.8022,0,0.0
43.0,2037,65.58135,0,0.0
44.0,2106,67.18196,0,0.0
45.0,1928,68.33269,0,0.0
46.0,1918,69.68301,0,0.0
47.0,1912,71.16651,0,0.0
48.0,1819,72.270935,0,0.0
49.0,1991,74.28505,0,0.0
50.0,1710,74.794754,0,0.0
51.0,1831,76.20607,0,0.0
52.0,1685,76.96014,0,0.0
53.0,1740,78.42458,0,0.0
54.0,1679,79.412025,0,0.0
55.0,1634,80.31058,0,0.0
56.0,1673,81.59243,0,0.0
57.0,1580,82.216736,0,0.0
58.0,1644,83.378525,0,0.0
59.0,1604,84.12617,0,0.0
60.0,1588,86.94086,0,0.0
61.0,1516,92.69994,0,0.0
62.0,1354,98.285614,0,0.0
63.0,1355,103.23827,0,0.0
64.0,1253,106.7081,0,0.0
65.0,1192,109.82074,0,0.0
66.0,1217,113.09411,0,0.0
67.0,1200,116.09663,0,0.0
68.0,1080,118.76482,0,0.0
69.0,1046,121.2471,0,0.0
70.0,1093,124.48878,0,0.0
71.0,1008,127.271126,0,0.0
72.0,909,129.63583,0,0.0
73.0,952,133.08382,0,0.0
74.0,930,136.33371,0,0.0
75.0,774,138.83571,0,0.0
76.0,836,142.02138,0,0.0
77.0,783,145.08278,0,0.0
78.0,703,147.8207,0,0.0
79.0,723,150.61433,0,0.0
80.0,618,152.86844,0,0.0
81.0,441,155.76674,0,0.0
82.0,814,158.4126,0,0.0
83.0,573,161.22957,0,0.0
84.0,562,163.47118,0,0.0
85.0,288,164.18672,0,0.0
86.0,710,167.37352,0,0.0
87.0,423,169.83882,0,0.0
88.0,209,168.9743,0,0.0
89.0,577,172.99596,0,0.0
90.0,172,173.82753,0,0.0
91.0,398,176.69875,0,0.0
92.0,335,177.33357,0,0.0
93.0,399,179.92526,0,0.0
94.0,450,181.225,0,0.0
95.0,91,181.02646,0,0.0
96.0,368,184.77132,0,0.0
97.0,346,186.9912,0,0.0
98.0,152,188.38872,0,0.0
99.0,448,189.93495,0,0.0
100.0,146,192.47021,0,0.0
101.0,403,193.7831,0,0.0
102.0,151,196.2773,0,0.0
103.0,96,196.0155,0,0.0
104.0,659,198.76808,0,0.0
105.0,106,200.24251,0,0.0
106.0,119,202.431,0,0.0
107.0,453,202.39369,0,0.0
108.0,85,203.9997,0,0.0
109.0,472,205.14124,0,0.0
110.0,129,206.66441,0,0.0
111.0,428,207.36476,0,0.0
112.0,70,207.59741,0,0.0
113.0,100,210.02873,0,0.0
114.0,449,210.08556,0,0.0
115.0,397,211.95004,0,0.0
116.0,57,212.02988,0,0.0
117.0,315,214.1254,0,0.0
118.0,83,214.49695,0,0.0
