current_zone_idx,total_frames,avg_speed,std_speed,crash_count,airborne_count,backwards_count,heavy_drift_count,avg_drift_ratio,avg_wheels_ground,crash_rate,airborne_rate,backwards_rate
564.0,79,38.243286,68.31216,62,0,0,0,0.09505012,3.2025316,78.48101265822784,0.0,0.0
560.0,96,43.24882,76.6836,75,0,0,0,0.10192022,3.21875,78.125,0.0,0.0
573.0,92,46.618435,79.75494,71,0,0,0,0.082554705,3.2282608,77.17391304347827,0.0,0.0
536.0,85,37.63534,71.87886,65,0,0,0,0.077398255,3.1882353,76.47058823529412,0.0,0.0
565.0,80,47.714386,81.35513,61,0,0,1,0.12218274,3.2375,76.25,0.0,0.0
534.0,101,37.26695,71.08027,77,0,0,0,0.10732021,3.1881187,76.23762376237624,0.0,0.0
569.0,74,44.94723,74.854126,56,0,0,0,0.12810536,3.2432432,75.67567567567568,0.0,0.0
528.0,136,26.218102,59.527683,99,0,0,0,0.087054804,3.1544118,72.79411764705883,0.0,0.0
562.0,57,59.766953,88.03869,40,0,0,0,0.07054606,3.2982457,70.17543859649122,0.0,0.0
535.0,79,47.270313,76.6455,55,0,0,0,0.08646144,3.2531645,69.62025316455697,0.0,0.0
532.0,115,42.160946,74.09735,78,0,0,2,0.10920856,3.2,67.82608695652173,0.0,0.0
563.0,60,66.32547,92.320564,40,0,0,0,0.055003908,3.3333333,66.66666666666666,0.0,0.0
361.0,247,13.299287,28.659971,164,0,0,196,2.105237,3.4251013,66.39676113360325,0.0,0.0
359.0,356,16.63816,37.00356,229,0,0,181,1.3578532,3.3932583,64.32584269662921,0.0,0.0
574.0,53,71.019615,94.077934,34,0,0,0,0.11363295,3.3584905,64.15094339622641,0.0,0.0
524.0,124,33.23414,63.53624,74,0,0,0,0.110164955,3.2096775,59.67741935483871,0.0,0.0
526.0,84,46.041443,73.97754,50,0,0,0,0.09689617,3.297619,59.523809523809526,0.0,0.0
567.0,32,74.68292,87.116165,19,0,0,0,0.0484499,3.40625,59.375,0.0,0.0
360.0,391,18.818346,41.447388,230,0,0,187,2.0429738,3.3401535,58.82352941176471,0.0,0.0
568.0,55,84.42318,99.26989,32,0,0,0,0.06533458,3.418182,58.18181818181818,0.0,0.0
533.0,70,47.09132,72.722275,38,0,0,0,0.03342714,3.2428572,54.285714285714285,0.0,0.0
1044.0,347,15.488647,19.068521,188,199,0,181,1.1492653,0.5129683,54.17867435158501,57.34870317002881,0.0
527.0,82,45.01003,71.47953,44,0,0,0,0.056867473,3.2682927,53.65853658536586,0.0,0.0
570.0,28,84.65653,95.15175,15,0,0,0,0.056199636,3.4285715,53.57142857142857,0.0,0.0
176.0,55,69.981674,92.89912,27,0,0,0,0.043583374,4.0,49.09090909090909,0.0,0.0
566.0,39,101.33134,98.5687,19,0,0,0,0.03953233,3.5128205,48.717948717948715,0.0,0.0
522.0,68,55.12643,80.04895,33,0,0,0,0.08354877,3.3088236,48.529411764705884,0.0,0.0
