current_zone_idx,transitions,regressions,regression_rate
19.0,56,0,0.0
20.0,7979,2,0.025065797719012406
21.0,5154,20,0.38804811796662786
22.0,2898,19,0.6556245686680469
23.0,2393,1,0.041788549937317176
24.0,2022,1,0.04945598417408506
25.0,1808,0,0.0
26.0,1996,7,0.35070140280561124
27.0,1652,0,0.0
28.0,1468,1,0.06811989100817438
29.0,2132,4,0.18761726078799248
30.0,2649,12,0.4530011325028313
31.0,1629,0,0.0
32.0,1197,1,0.0835421888053467
33.0,1124,0,0.0
34.0,958,1,0.10438413361169101
35.0,825,3,0.36363636363636365
36.0,1693,14,0.8269344359125812
37.0,2002,26,1.2987012987012987
38.0,1545,25,1.6181229773462782
39.0,1155,14,1.2121212121212122
40.0,566,6,1.0600706713780919
41.0,616,2,0.3246753246753247
42.0,479,3,0.6263048016701461
43.0,448,2,0.4464285714285714
44.0,291,3,1.0309278350515463
45.0,379,4,1.0554089709762533
46.0,312,3,0.9615384615384616
47.0,283,3,1.0600706713780919
48.0,296,2,0.6756756756756757
49.0,247,1,0.4048582995951417
50.0,290,1,0.3448275862068966
51.0,262,0,0.0
52.0,276,0,0.0
53.0,386,0,0.0
54.0,377,2,0.5305039787798408
55.0,373,0,0.0
56.0,486,0,0.0
57.0,562,2,0.3558718861209964
58.0,516,3,0.5813953488372093
59.0,565,3,0.5309734513274336
60.0,617,2,0.3241491085899514
61.0,673,3,0.44576523031203563
62.0,435,2,0.45977011494252873
63.0,470,2,0.425531914893617
64.0,554,1,0.18050541516245489
65.0,407,3,0.7371007371007371
66.0,313,1,0.3194888178913738
67.0,288,0,0.0
68.0,229,0,0.0
69.0,162,0,0.0
70.0,151,0,0.0
71.0,128,0,0.0
72.0,136,0,0.0
73.0,139,0,0.0
74.0,156,0,0.0
75.0,111,0,0.0
76.0,80,0,0.0
77.0,78,0,0.0
78.0,72,0,0.0
79.0,83,0,0.0
80.0,62,0,0.0
81.0,73,0,0.0
82.0,67,0,0.0
83.0,62,0,0.0
84.0,66,0,0.0
85.0,58,0,0.0
86.0,67,0,0.0
87.0,53,0,0.0
88.0,66,0,0.0
89.0,58,0,0.0
90.0,59,0,0.0
91.0,58,0,0.0
92.0,61,0,0.0
93.0,61,0,0.0
94.0,55,0,0.0
95.0,62,0,0.0
96.0,59,0,0.0
97.0,57,0,0.0
98.0,46,0,0.0
99.0,68,0,0.0
100.0,53,0,0.0
101.0,68,0,0.0
102.0,49,0,0.0
103.0,70,0,0.0
104.0,55,0,0.0
105.0,69,0,0.0
106.0,55,0,0.0
107.0,68,0,0.0
108.0,51,0,0.0
109.0,70,0,0.0
110.0,54,0,0.0
111.0,75,0,0.0
112.0,62,0,0.0
113.0,67,0,0.0
114.0,75,0,0.0
115.0,68,0,0.0
116.0,81,0,0.0
117.0,64,0,0.0
118.0,83,0,0.0
119.0,61,0,0.0
120.0,86,0,0.0
121.0,71,0,0.0
122.0,79,0,0.0
123.0,81,0,0.0
124.0,80,0,0.0
125.0,96,0,0.0
126.0,77,0,0.0
127.0,95,0,0.0
128.0,82,0,0.0
129.0,80,0,0.0
130.0,91,0,0.0
131.0,90,0,0.0
132.0,100,0,0.0
133.0,86,0,0.0
134.0,96,0,0.0
135.0,99,0,0.0
136.0,103,0,0.0
137.0,94,0,0.0
138.0,96,0,0.0
139.0,102,0,0.0
140.0,88,0,0.0
141.0,94,0,0.0
142.0,92,0,0.0
143.0,94,0,0.0
144.0,103,0,0.0
145.0,94,0,0.0
146.0,108,0,0.0
147.0,97,0,0.0
148.0,108,1,0.9259259259259258
149.0,110,1,0.9090909090909091
150.0,126,2,1.5873015873015872
151.0,137,3,2.18978102189781
152.0,161,5,3.1055900621118013
153.0,249,8,3.2128514056224895
154.0,235,8,3.404255319148936
155.0,281,10,3.558718861209965
156.0,346,13,3.7572254335260116
157.0,367,14,3.8147138964577656
158.0,384,14,3.6458333333333335
159.0,170,13,7.647058823529412
160.0,350,15,4.285714285714286
161.0,306,13,4.248366013071895
162.0,269,12,4.4609665427509295
163.0,230,15,6.521739130434782
164.0,219,14,6.392694063926941
165.0,384,16,4.166666666666666
166.0,375,17,4.533333333333333
167.0,469,16,3.411513859275053
168.0,272,13,4.779411764705882
169.0,140,7,5.0
170.0,188,7,3.723404255319149
171.0,117,5,4.273504273504273
172.0,222,5,2.2522522522522523
173.0,50,1,2.0
174.0,34,1,2.941176470588235
175.0,34,0,0.0
176.0,55,1,1.8181818181818181
177.0,50,1,2.0
178.0,38,1,2.631578947368421
179.0,56,1,1.7857142857142856
180.0,61,1,1.639344262295082
181.0,26,0,0.0
182.0,26,0,0.0
183.0,24,0,0.0
184.0,28,0,0.0
185.0,21,0,0.0
186.0,31,0,0.0
187.0,21,0,0.0
188.0,32,0,0.0
189.0,25,0,0.0
190.0,31,0,0.0
191.0,26,0,0.0
192.0,29,0,0.0
193.0,29,0,0.0
194.0,29,0,0.0
195.0,30,0,0.0
196.0,32,0,0.0
197.0,29,0,0.0
198.0,28,0,0.0
199.0,34,0,0.0
200.0,30,0,0.0
201.0,36,0,0.0
202.0,29,0,0.0
203.0,31,0,0.0
204.0,37,0,0.0
205.0,30,0,0.0
206.0,32,0,0.0
207.0,37,0,0.0
208.0,32,0,0.0
209.0,34,0,0.0
210.0,33,0,0.0
211.0,39,0,0.0
212.0,35,0,0.0
213.0,32,0,0.0
214.0,37,0,0.0
215.0,31,0,0.0
216.0,37,0,0.0
217.0,32,0,0.0
218.0,41,0,0.0
219.0,35,0,0.0
220.0,34,0,0.0
221.0,33,0,0.0
222.0,37,0,0.0
223.0,40,0,0.0
224.0,41,0,0.0
225.0,38,0,0.0
226.0,30,0,0.0
227.0,37,0,0.0
228.0,38,0,0.0
229.0,28,0,0.0
230.0,40,0,0.0
